top - 07:16:45 up 45 min,  1 user,  load average: 0.07, 0.09, 0.10
Tasks: 235 total,   2 running, 233 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.9 us,  0.0 sy,  0.0 ni, 99.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3915.9 total,    470.2 free,   1875.4 used,   1663.6 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2040.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    898 avahi     20   0    8480   1416   1148 S   0.0   0.0   0:00.00 avahi-d+
    899 syslog    20   0  222588   5812   4404 S   0.0   0.1   0:00.05 rsyslogd
    944 root      20   0  336948  19796  16468 S   0.0   0.5   0:00.21 Network+
    945 root      20   0   17380   6232   5464 S   0.0   0.2   0:00.01 wpa_sup+
    968 root      20   0  318296  12600  10680 S   0.0   0.3   0:00.05 ModemMa+
   1095 root      20   0   38236  11584   9664 S   0.0   0.3   0:00.00 cupsd
   1099 root      20   0  112256  22824  13480 S   0.0   0.6   0:00.04 unatten+
   1114 root      20   0   12020   7936   6912 S   0.0   0.2   0:00.00 sshd
   1157 root      20   0  314824   9064   8168 S   0.0   0.2   0:00.02 gdm3
   1158 kernoops  20   0   12744   2284   1876 S   0.0   0.1   0:00.00 kernelo+
   1161 kernoops  20   0   12744   2324   1932 S   0.0   0.1   0:00.00 kernelo+
   1174 lp        20   0   16832   6860   5964 S   0.0   0.2   0:00.00 dbus
   1175 lp        20   0   16832   6792   5896 S   0.0   0.2   0:00.00 dbus
   1176 cups-br+  20   0  268352  19668  16852 S   0.0   0.5   0:00.02 cups-br+
   1192 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1262 rtkit     21   1   22940   3480   3224 S   0.0   0.1   0:00.03 rtkit-d+
   1364 colord    20   0  320060  14336   9760 S   0.0   0.4   0:00.07 colord
   1410 root      20   0  316688   9100   7564 S   0.0   0.2   0:00.03 upowerd
   1723 root      20   0  242584  10196   8916 S   0.0   0.3   0:00.01 gdm-ses+
   1734 user      20   0   21156  12540   9596 S   0.0   0.3   0:00.33 systemd
   1737 user      20   0   21460   3664   1860 S   0.0   0.1   0:00.00 (sd-pam)
   1748 user       9 -11  122028  19460   8836 S   0.0   0.5   0:00.40 pipewire
   1750 user      20   0   97736   5924   5156 S   0.0   0.1   0:00.00 pipewire
   1753 user      20   0   39136  12060  10652 S   0.0   0.3   0:00.40 snapd-d+
   1755 user       9 -11  406908  18632  13768 S   0.0   0.5   0:00.30 wireplu+
   1759 user       9 -11  122856  19216  10792 S   0.0   0.5   0:00.17 pipewir+
   1763 user      20   0   10960   6428   4636 S   0.0   0.2   0:00.49 dbus-da+
   1765 user      20   0  463972  10176   9280 S   0.0   0.3   0:00.04 gnome-k+
   1802 user      20   0  610292   7396   6756 S   0.0   0.2   0:00.03 xdg-doc+
   1806 user      20   0  309308   6000   5616 S   0.0   0.1   0:00.00 xdg-per+
   1813 root      20   0    2704   1876   1876 S   0.0   0.0   0:00.00 fusermo+
   1851 user      20   0  235668   6048   5664 S   0.0   0.2   0:00.00 gdm-way+
   1855 user      20   0  298236  16380  14588 S   0.0   0.4   0:00.01 gnome-s+
